CustomSetId,Name,Dimension,ParentIds
Balticali,Balticali,Location,Finlandi
Pangae,Pangae,Location,Finlandi
Persiberlaur,Persiberlaur,Location,West-Finlandi
Spotsylv,Spotsylv,Location,Brittai
Atrokergu,Atrokergu,Location,North-Brittai
Landi,Landi,Location,East-Brittai
Eurokee,Eurokee,Location,Brittai
Africelester,Africelester,Location,North-Brittai:East-Brittai
Pacifornia,Pacifornia,Location,North-Brittai:West-Brittai
Vaalbarans,Vaalbarans,Location,West-Brittai
Arbouria,Arbouria,Location,Brittai
Aurentia,Aurentia,Location,West-Brittai
Arcadi,Arcadi,Location,South-Brittai
Enticalifor,Enticalifor,Location,West-Dorcheste
Atlanticeland,Atlanticeland,Location,South-Dorcheste
Chesterlandwan,Chesterlandwan,Location,Dorcheste
Celantic,Celantic,Location,West-Dorcheste
Afric,Afric,Location,Dorcheste
Eurockdal,Eurockdal,Location,South-Dorcheste
Westransylv,Westransylv,Location,East-Dorcheste
Spotia,Spotia,Location,West-Dorcheste
Egyp,Egyp,Location,Dorcheste
Englantica,Englantica,Location,East-Dorcheste
Sterguelia,Sterguelia,Location,West-Freedondwana
Achersiberia,Achersiberia,Location,South-Freedondwana:East-Freedondwana
Austrondwana,Austrondwana,Location,Freedondwana
Atlantia,Atlantia,Location,North-Freedondwana
Chinia,Chinia,Location,East-Freedondwana
Panemurope,Panemurope,Location,North-Freedondwana
Stralia,Stralia,Location,North-Freedondwana
Kenorlandinia,Kenorlandinia,Location,East-Freedondwana
Aurentica,Aurentica,Location,Freedondwana
Austorni,Austorni,Location,West-Freedondwana
Newfoundlaur,Newfoundlaur,Location,West-Pannotica
Kenorlania,Kenorlania,Location,Pannotica
Harittain,Harittain,Location,West-Pannotica
Zealand,Zealand,Location,South-Pannotica
Cadinistor,Cadinistor,Location,South-Pannotica:North-Pannotica
Newfound,Newfound,Location,East-Pannotica
Amerlantis,Amerlantis,Location,South-Pannotica
Rodini,Rodini,Location,Pannotica
Kergueli,Kergueli,Location,Pannotica
Antic,Antic,Location,South-Pannotica
Brittainlandia,Brittainlandia,Location,West-Lauransylv
Annotia,Annotia,Location,West-Lauransylv
Landland,Landland,Location,Lauransylv
Arctic,Arctic,Location,North-Lauransylv
Annotopi,Annotopi,Location,East-Lauransylv
Andinia,Andinia,Location,North-Lauransylv
Thailandlandia,Thailandlandia,Location,East-Lauransylv
Oceantis,Oceantis,Location,Lauransylv
Trans,Trans,Location,South-Lauransylv
Atlantistowah,Atlantistowah,Location,Lauransylv
Cific,Cific,Location,West-Celesterland
Austrans,Austrans,Location,West-Celesterland
Oce,Oce,Location,East-Celesterland:South-Celesterland
Polania,Polania,Location,North-Celesterland
Atlandia,Atlandia,Location,West-Celesterland:South-Celesterland
Katro,Katro,Location,North-Celesterland
Rodinlandia,Rodinlandia,Location,South-Celesterland
Rodinter,Rodinter,Location,West-Celesterland
Atrokee,Atrokee,Location,West-Celesterland:South-Celesterland
Tralifornia,Tralifornia,Location,East-Celesterland
Annotsylvania,Annotsylvania,Location,North-Harbouropia
Vaalbarborea,Vaalbarborea,Location,North-Harbouropia
Avaltic,Avaltic,Location,North-Harbouropia
Freedongo,Freedongo,Location,East-Harbouropia
Islannotia,Islannotia,Location,East-Harbouropia
Westonia,Westonia,Location,East-Harbouropia
Englandinia,Englandinia,Location,West-Harbouropia
Funkatro,Funkatro,Location,North-Harbouropia:East-Harbouropia
Auston,Auston,Location,North-Harbouropia:West-Harbouropia
Calester,Calester,Location,Harbouropia
Icelantis,Icelantis,Location,Siberland
Siberokee,Siberokee,Location,Siberland
Austransyl,Austransyl,Location,East-Siberland:North-Siberland
Tralifoun,Tralifoun,Location,Siberland
Atlantic,Atlantic,Location,North-Siberland:South-Siberland
Valonistia,Valonistia,Location,North-Siberland
Cherokeedonia,Cherokeedonia,Location,South-Siberland
Chestralia,Chestralia,Location,South-Siberland
Kenornia,Kenornia,Location,South-Siberland
Landwan,Landwan,Location,South-Siberland
Cele,Cele,Location,South-Panemurentia
Barasia,Barasia,Location,North-Panemurentia
Nevalonia,Nevalonia,Location,South-Panemurentia
Nevaaland,Nevaaland,Location,North-Panemurentia
Icelandia,Icelandia,Location,North-Panemurentia
Conglaur,Conglaur,Location,South-Panemurentia
Freedongondwana,Freedongondwana,Location,North-Panemurentia
Harborea,Harborea,Location,South-Panemurentia:East-Panemurentia
Katraledoni,Katraledoni,Location,South-Panemurentia
Freedoni,Freedoni,Location,Panemurentia
Potsylvania,Potsylvania,Location,East-Kenormland:North-Kenormland
Paci,Paci,Location,Kenormland
Califica,Califica,Location,West-Kenormland
Vajo,Vajo,Location,West-Kenormland
Ameria,Ameria,Location,West-Kenormland
Atlanticadinia,Atlanticadinia,Location,West-Kenormland
Newfornia,Newfornia,Location,North-Kenormland
Etowahari,Etowahari,Location,North-Kenormland
Auralia,Auralia,Location,North-Kenormland
Antis,Antis,Location,Kenormland
Avalon,Avalon,Location,East-Cumber
Thailandi,Thailandi,Location,North-Cumber
Chinavaj,Chinavaj,Location,South-Cumber
Harbourasi,Harbourasi,Location,Cumber
Dorcher,Dorcher,Location,North-Cumber
Navadalemuria,Navadalemuria,Location,North-Cumber
Eurockdale,Eurockdale,Location,East-Cumber
Interlandia,Interlandia,Location,East-Cumber
Avalah,Avalah,Location,East-Cumber
Lestia,Lestia,Location,North-Cumber
Transylv,Transylv,Location,East-Balticelia
Eurockda,Eurockda,Location,North-Balticelia
Kerguelifo,Kerguelifo,Location,Balticelia
Arcticalifor,Arcticalifor,Location,West-Balticelia
Kazakhstainte,Kazakhstainte,Location,North-Balticelia:South-Balticelia
Siber,Siber,Location,South-Balticelia
Conglandwan,Conglandwan,Location,North-Balticelia:South-Balticelia
Icelantic,Icelantic,Location,South-Balticelia
Africadini,Africadini,Location,West-Balticelia
Hailand,Hailand,Location,West-Balticelia
Lemuropia,Lemuropia,Location,West-Haria
Westerlandia,Westerlandia,Location,Haria
Thailanem,Thailanem,Location,West-Haria
Dorcheron,Dorcheron,Location,East-Haria
Anemurope,Anemurope,Location,West-Haria
Africelania,Africelania,Location,West-Haria
Kaz,Kaz,Location,North-Haria
Inui,Inui,Location,North-Haria
Panewf,Panewf,Location,North-Haria
Chergueli,Chergueli,Location,North-Haria
Kumari,Kumari,Location,South-Pacificali
Icelandwan,Icelandwan,Location,North-Pacificali
Finlania,Finlania,Location,West-Pacificali
Arcticeland,Arcticeland,Location,West-Pacificali
Hinterlantica,Hinterlantica,Location,East-Pacificali
Cotowah,Cotowah,Location,Pacificali
Funka,Funka,Location,West-Pacificali
Vaalbaria,Vaalbaria,Location,West-Pacificali:East-Pacificali
Rokee,Rokee,Location,Pacificali
Cumberlandia,Cumberlandia,Location,West-Pacificali
Persiberia,Persiberia,Location,Harbouria
Acifica,Acifica,Location,East-Harbouria
Brittailaur,Brittailaur,Location,South-Harbouria
Dorcheropa,Dorcheropa,Location,South-Harbouria
Pacifor,Pacifor,Location,East-Harbouria
Cheste,Cheste,Location,West-Harbouria
Zealaharbour,Zealaharbour,Location,Harbouria
Congae,Congae,Location,Harbouria
Caledoni,Caledoni,Location,East-Harbouria
Stia,Stia,Location,West-Harbouria
Spotsylvani,Spotsylvani,Location,West-Atlandinia
Potsylv,Potsylv,Location,South-Atlandinia
Cadinisto,Cadinisto,Location,North-Atlandinia:East-Atlandinia
Vanistormland,Vanistormland,Location,West-Atlandinia
Navaalbaria,Navaalbaria,Location,West-Atlandinia
Ficalifor,Ficalifor,Location,West-Atlandinia:South-Atlandinia
Sterica,Sterica,Location,West-Atlandinia
Persi,Persi,Location,South-Atlandinia
Kalah,Kalah,Location,North-Atlandinia
Kergu,Kergu,Location,East-Atlandinia
Chersiberica,Chersiberica,Location,South-Antica
Dorchina,Dorchina,Location,East-Antica
Brittailandinia,Brittailandinia,Location,Antica
Afrittailantica,Afrittailantica,Location,South-Antica:East-Antica
Laurentica,Laurentica,Location,North-Antica
Kumarborea,Kumarborea,Location,North-Antica
Wester,Wester,Location,East-Antica
Atrodinia,Atrodinia,Location,South-Antica
Enticaledonia,Enticaledonia,Location,North-Antica
Cumberia,Cumberia,Location,East-Antica:West-Antica
Dorchestia,Dorchestia,Location,North-Gondwanem
Cumberittain,Cumberittain,Location,West-Gondwanem
Nevania,Nevania,Location,South-Gondwanem
Potsy,Potsy,Location,West-Gondwanem
Weste,Weste,Location,North-Gondwanem:West-Gondwanem
Celantica,Celantica,Location,East-Gondwanem
Celestormland,Celestormland,Location,South-Gondwanem
Ockdaledonia,Ockdaledonia,Location,Gondwanem
Inuittania,Inuittania,Location,West-Gondwanem
Hailandia,Hailandia,Location,North-Gondwanem
Funkatrokee,Funkatrokee,Location,Spotsy
Inlaurasi,Inlaurasi,Location,North-Spotsy
Gondwantis,Gondwantis,Location,North-Spotsy:East-Spotsy
Dorcherokenor,Dorcherokenor,Location,Spotsy
Standia,Standia,Location,North-Spotsy
Inuittai,Inuittai,Location,West-Spotsy:South-Spotsy
Islanem,Islanem,Location,Spotsy
Rokenor,Rokenor,Location,East-Spotsy
Rockdal,Rockdal,Location,South-Spotsy
Trali,Trali,Location,West-Spotsy
Siberlaure,Siberlaure,Location,North-Arbour:South-Arbour
Africeland,Africeland,Location,East-Arbour
Rockdalia,Rockdalia,Location,North-Arbour
Enormland,Enormland,Location,North-Arbour
Utaharia,Utaharia,Location,West-Arbour
Sterland,Sterland,Location,North-Arbour
Afrittain,Afrittain,Location,South-Arbour
Ceantic,Ceantic,Location,Arbour
Atrockdalon,Atrockdalon,Location,East-Arbour:West-Arbour
Caledongondwana,Caledongondwana,Location,East-Arbour
Calemuria,Calemuria,Location,North-Harboreedonia
Siberlanter,Siberlanter,Location,East-Harboreedonia:West-Harboreedonia
Frica,Frica,Location,North-Harboreedonia
Atlanticalifornia,Atlanticalifornia,Location,East-Harboreedonia
Landwana,Landwana,Location,North-Harboreedonia:East-Harboreedonia
Donia,Donia,Location,East-Harboreedonia
Enornisto,Enornisto,Location,West-Harboreedonia
Freedon,Freedon,Location,Harboreedonia
Siberon,Siberon,Location,East-Harboreedonia:West-Harboreedonia
Acificeland,Acificeland,Location,East-Harboreedonia
Vaaledonia,Vaaledonia,Location,South-Lauralifo
Arbore,Arbore,Location,South-Lauralifo
Vaalbarali,Vaalbarali,Location,East-Lauralifo
Avalifo,Avalifo,Location,South-Lauralifo
Atlandini,Atlandini,Location,South-Lauralifo
Arborentia,Arborentia,Location,Lauralifo
Funkatrockda,Funkatrockda,Location,West-Lauralifo
Siberlantis,Siberlantis,Location,East-Lauralifo
Acificalifor,Acificalifor,Location,West-Lauralifo
Gondwan,Gondwan,Location,Lauralifo
Arboreedonia,Arboreedonia,Location,North-Pannorland
Stonia,Stonia,Location,Pannorland
Stormlania,Stormlania,Location,South-Pannorland
Harica,Harica,Location,North-Pannorland
Amerittain,Amerittain,Location,South-Pannorland:East-Pannorland
Annoti,Annoti,Location,West-Pannorland
Acherondwana,Acherondwana,Location,South-Pannorland
Arborentica,Arborentica,Location,West-Pannorland
Kalaharborea,Kalaharborea,Location,Pannorland
Lesti,Lesti,Location,South-Pannorland
Navanisto,Navanisto,Location,Congondlantica
Lantia,Lantia,Location,East-Congondlantica
Kenotia,Kenotia,Location,West-Congondlantica
Valonia,Valonia,Location,South-Congondlantica
Icelantica,Icelantica,Location,East-Congondlantica
Finlansyl,Finlansyl,Location,South-Congondlantica
Transylvani,Transylvani,Location,North-Congondlantica
Englaur,Englaur,Location,East-Congondlantica
Englandi,Englandi,Location,Congondlantica
Colu,Colu,Location,East-Congondlantica
Dorcheston,Dorcheston,Location,South-Celestica:North-Celestica
Lemurengland,Lemurengland,Location,East-Celestica
Englantis,Englantis,Location,West-Celestica
Af,Af,Location,North-Celestica
Polantica,Polantica,Location,North-Celestica
Aurasia,Aurasia,Location,South-Celestica
Caledonister,Caledonister,Location,East-Celestica
Englantic,Englantic,Location,West-Celestica
Avalonistia,Avalonistia,Location,West-Celestica
Andia,Andia,Location,West-Celestica
Balticeland,Balticeland,Location,West-Westerlantis
Acheroke,Acheroke,Location,East-Westerlantis
Atlandwan,Atlandwan,Location,West-Westerlantis:North-Westerlantis
Ecotormland,Ecotormland,Location,East-Westerlantis:South-Westerlantis
Kumarcadia,Kumarcadia,Location,Westerlantis
Persiberland,Persiberland,Location,East-Westerlantis
Hailantic,Hailantic,Location,East-Westerlantis
Arbound,Arbound,Location,East-Westerlantis
Laureedon,Laureedon,Location,South-Westerlantis
Atlandlaharia,Atlandlaharia,Location,Westerlantis
Utaharca,Utaharca,Location,South-Oceani
Thailantica,Thailantica,Location,South-Oceani
Navaalbara,Navaalbara,Location,North-Oceani
Kalandwan,Kalandwan,Location,East-Oceani:West-Oceani
Amerittailand,Amerittailand,Location,North-Oceani
Arcticaledon,Arcticaledon,Location,North-Oceani
Icelandlaur,Icelandlaur,Location,East-Oceani
Chesterlantica,Chesterlantica,Location,North-Oceani
Kalaharica,Kalaharica,Location,North-Oceani
Ceani,Ceani,Location,East-Oceani
Ansylvajo,Ansylvajo,Location,West-Rockda:North-Rockda
Kalahari,Kalahari,Location,South-Rockda
Americadinia,Americadinia,Location,North-Rockda
Oceandinia,Oceandinia,Location,North-Rockda
Congaea,Congaea,Location,Rockda
Balticalifor,Balticalifor,Location,West-Rockda:South-Rockda
Celester,Celester,Location,South-Rockda
Chinavania,Chinavania,Location,North-Rockda
Cheroke,Cheroke,Location,East-Rockda
Celedonia,Celedonia,Location,Rockda
Inuittani,Inuittani,Location,Istopi
Laurenticelia,Laurenticelia,Location,West-Istopi:North-Istopi
Kumarbor,Kumarbor,Location,Istopi
Pacifinlania,Pacifinlania,Location,East-Istopi
Baransylvada,Baransylvada,Location,West-Istopi
Newfo,Newfo,Location,Istopi
Cherokergu,Cherokergu,Location,West-Istopi:East-Istopi
Zealantica,Zealantica,Location,South-Istopi
Etowana,Etowana,Location,East-Istopi
Icelanni,Icelanni,Location,West-Istopi
Rockdalbara,Rockdalbara,Location,West-Arcalifo
Vaaledoni,Vaaledoni,Location,West-Arcalifo
Chestica,Chestica,Location,North-Arcalifo
